matchId,matchDate,matchType,ouid,nickname,division,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess
6a71fff64b9db1704f08db63,2026-08-04T15:16:55,50,a3ec9f756301ad6deafe1f930124f0ea,T1Byul,1300,202606,패,0,0.0,0.0,0.0,0.0,0.0,86.0,2.0,54.0,0.0,4.12778,gamepad,7.0,6.0,0.0,4.0,4,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,0.0,115.0,106.0,88.0,86.0,1.0,0.0,0.0,0.0,7.0,6.0,16.0,13.0,1.0,1.0,7.0,1.0,22.0,8.0
6a71fff64b9db1704f08db63,2026-08-04T15:16:55,50,ff4e703d48084459904f58e4362b197a,T1Seon9min,1300,202606,승,0,0.0,0.0,1.0,0.0,0.0,82.0,1.0,46.0,0.0,4.32222,gamepad,7.0,6.0,0.0,5.0,5,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,1.0,0.0,0.0,96.0,85.0,56.0,51.0,3.0,0.0,1.0,1.0,14.0,13.0,21.0,19.0,1.0,1.0,2.0,0.0,23.0,11.0
6a720deb93bfc41fe3624fed,2026-08-04T16:13:12,50,d648becda714dc515d3037589bf27105,깐풍,1300,202606,패,2,1.0,0.0,0.0,0.0,0.0,63.0,0.0,49.0,0.0,3.33889,gamepad,2.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,82.0,79.0,54.0,54.0,3.0,2.0,0.0,0.0,15.0,14.0,10.0,9.0,0.0,0.0,0.0,0.0,10.0,7.0
6a720deb93bfc41fe3624fed,2026-08-04T16:13:12,50,ff4e703d48084459904f58e4362b197a,T1Seon9min,1300,202606,승,1,0.0,1.0,0.0,0.0,0.0,45.0,0.0,51.0,0.0,4.72222,gamepad,6.0,6.0,0.0,4.0,3,0.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,60.0,55.0,36.0,34.0,2.0,2.0,2.0,1.0,6.0,6.0,10.0,10.0,2.0,2.0,3.0,0.0,12.0,6.0
6a735e46eaef34b02d6fd349,2026-08-05T16:11:26,50,f38099dd04601a03bc11d9331dbcd9f6,KRXMINION,1300,202606,패,0,0.0,1.0,0.0,0.0,0.0,87.0,1.0,53.0,0.0,3.73889,gamepad,3.0,2.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,123.0,113.0,98.0,93.0,2.0,1.0,0.0,0.0,6.0,6.0,15.0,13.0,0.0,0.0,4.0,1.0,9.0,4.0
6a735e46eaef34b02d6fd349,2026-08-05T16:11:26,50,273cb73976b33dc7ee374a1dde36f16b,T1YooMin,1300,202606,승,0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,47.0,0.0,4.13889,gamepad,7.0,5.0,0.0,2.0,2,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,86.0,78.0,67.0,64.0,3.0,1.0,0.0,0.0,8.0,7.0,6.0,5.0,1.0,1.0,2.0,0.0,12.0,5.0
6a73653da46f3d71f74dd98c,2026-08-05T16:42:11,50,273cb73976b33dc7ee374a1dde36f16b,T1YooMin,800,202604,승,0,0.0,1.0,0.0,0.0,0.0,69.0,3.0,56.0,0.0,4.62778,gamepad,11.0,9.0,0.0,7.0,7,0.0,1.0,1.0,0.0,0.0,7.0,6.0,4.0,1.0,0.0,0.0,81.0,75.0,50.0,47.0,5.0,3.0,1.0,1.0,9.0,9.0,11.0,11.0,2.0,2.0,5.0,0.0,13.0,7.0
6a73653da46f3d71f74dd98c,2026-08-05T16:42:11,50,ff1555366e53bd3a4602b262dea5c873,볼케이노소스추가,900,202604,패,0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,44.0,0.0,4.03333,gamepad,7.0,6.0,0.0,5.0,5,0.0,1.0,1.0,1.0,0.0,2.0,2.0,5.0,3.0,0.0,0.0,102.0,91.0,70.0,68.0,3.0,0.0,0.0,0.0,10.0,9.0,17.0,14.0,1.0,0.0,9.0,1.0,15.0,8.0
6a741aa55d329be969054690,2026-08-06T05:34:23,50,11534f114b090dfd2617582022fc86de,지헌,1900,202604,승,1,0.0,3.0,0.0,0.0,0.0,65.0,3.0,51.0,0.0,4.78333,gamepad,8.0,5.0,0.0,4.0,3,0.0,2.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,84.0,76.0,51.0,48.0,10.0,8.0,1.0,1.0,12.0,12.0,9.0,7.0,0.0,0.0,1.0,0.0,19.0,11.0
6a741aa55d329be969054690,2026-08-06T05:34:23,50,833161ba2f1acab531f7d129da4b856b,RAGE,1700,202604,패,2,1.0,0.0,2.0,0.0,0.0,67.0,1.0,49.0,2.0,3.34444,gamepad,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,117.0,113.0,99.0,97.0,4.0,3.0,0.0,0.0,7.0,7.0,6.0,5.0,1.0,1.0,0.0,0.0,10.0,4.0
6a741e0595bd9e6f05035d9d,2026-08-06T05:55:44,50,11534f114b090dfd2617582022fc86de,지헌,1800,202604,승,0,0.0,5.0,2.0,0.0,0.0,84.0,4.0,45.0,0.0,4.11111,gamepad,11.0,9.0,5.0,4.0,4,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,0.0,0.0,116.0,102.0,81.0,78.0,8.0,4.0,0.0,0.0,7.0,6.0,18.0,13.0,1.0,1.0,3.0,0.0,35.0,15.0
6a741e0595bd9e6f05035d9d,2026-08-06T05:55:44,50,ac64245b5cec53112a7d7d0551b00919,은은유,1100,202604,패,0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,55.0,2.0,4.16111,gamepad,6.0,6.0,4.0,4.0,4,0.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,144.0,131.0,94.0,88.0,9.0,7.0,0.0,0.0,20.0,18.0,20.0,18.0,0.0,0.0,5.0,1.0,10.0,3.0
6a74229c008d0ba9626efaf6,2026-08-06T06:10:29,50,11534f114b090dfd2617582022fc86de,지헌,1700,202604,승,0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,52.0,0.0,4.38889,gamepad,10.0,5.0,0.0,5.0,5,0.0,0.0,0.0,3.0,0.0,6.0,5.0,4.0,0.0,0.0,0.0,97.0,82.0,69.0,62.0,6.0,4.0,1.0,1.0,6.0,6.0,13.0,9.0,1.0,0.0,5.0,0.0,16.0,10.0
6a74229c008d0ba9626efaf6,2026-08-06T06:10:29,50,f00b6ad4ffae0ff26d9681fd5dec68b1,코트데부아르,1200,202604,패,0,0.0,3.0,0.0,0.0,0.0,55.0,2.0,48.0,0.0,4.06111,gamepad,7.0,7.0,0.0,4.0,4,0.0,1.0,1.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,134.0,115.0,88.0,82.0,5.0,2.0,5.0,3.0,7.0,6.0,24.0,20.0,2.0,2.0,6.0,0.0,16.0,10.0
6a7425662d2803c83242bb6e,2026-08-06T06:23:04,50,11534f114b090dfd2617582022fc86de,지헌,1700,202604,승,0,0.0,1.0,0.0,0.0,0.0,68.0,2.0,53.0,3.0,4.33333,gamepad,10.0,4.0,0.0,3.0,3,0.0,2.0,0.0,2.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,79.0,71.0,50.0,49.0,7.0,5.0,2.0,1.0,8.0,8.0,9.0,7.0,3.0,1.0,7.0,0.0,20.0,12.0
6a7425662d2803c83242bb6e,2026-08-06T06:23:04,50,e1f443513c17c023b23c54c49fc2dafd,피파도사97,1200,202604,패,0,2.0,2.0,0.0,0.0,0.0,73.0,2.0,47.0,0.0,3.73333,keyboard,4.0,3.0,0.0,1.0,1,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,115.0,102.0,95.0,87.0,5.0,3.0,0.0,0.0,3.0,3.0,10.0,9.0,0.0,0.0,4.0,0.0,10.0,4.0
6a742c28eac9bb38b1ae6af8,2026-08-06T06:48:34,50,11534f114b090dfd2617582022fc86de,지헌,1100,202604,승,1,0.0,0.0,1.0,0.0,0.0,49.0,0.0,54.0,1.0,4.8,gamepad,11.0,6.0,0.0,4.0,3,0.0,3.0,1.0,2.0,0.0,6.0,3.0,5.0,1.0,0.0,0.0,63.0,58.0,46.0,45.0,1.0,1.0,0.0,0.0,6.0,5.0,8.0,6.0,1.0,1.0,2.0,0.0,22.0,12.0
6a742c28eac9bb38b1ae6af8,2026-08-06T06:48:34,50,b0c222b62e87687640d1e9e888ce8ea8,준스타,1100,202604,패,2,1.0,3.0,0.0,0.0,0.0,62.0,0.0,46.0,0.0,3.06667,gamepad,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.0,77.0,69.0,65.0,1.0,0.0,0.0,0.0,6.0,5.0,7.0,6.0,1.0,1.0,4.0,0.0,7.0,4.0
6a742e927380207ca12159d5,2026-08-06T07:01:35,50,11534f114b090dfd2617582022fc86de,지헌,1100,202604,승,1,0.0,1.0,0.0,0.0,0.0,61.0,2.0,51.0,0.0,4.59444,gamepad,11.0,9.0,0.0,6.0,3,0.0,0.0,0.0,1.0,0.0,7.0,5.0,4.0,1.0,0.0,0.0,77.0,66.0,59.0,57.0,4.0,1.0,2.0,1.0,4.0,3.0,6.0,4.0,1.0,0.0,5.0,0.0,16.0,10.0
6a742e927380207ca12159d5,2026-08-06T07:01:35,50,d1c9d7e0fe68c1037eafce5fbbbcf47a,탁트신,1300,202607,패,2,2.0,1.0,0.0,0.0,0.0,66.0,2.0,49.0,1.0,4.2,keyboard,9.0,9.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,1.0,0.0,0.0,106.0,93.0,73.0,65.0,5.0,2.0,0.0,0.0,6.0,6.0,20.0,20.0,0.0,0.0,8.0,1.0,4.0,2.0
6a7431cac74aabb2a7d791eb,2026-08-06T07:13:49,50,2e2b7a7238e9f93126deb39ef17bd994,폭망,1300,202607,패,0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,55.0,0.0,4.0,keyboard,6.0,5.0,0.0,2.0,2,0.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,125.0,117.0,100.0,95.0,5.0,3.0,0.0,0.0,9.0,8.0,11.0,11.0,0.0,0.0,8.0,0.0,10.0,4.0
6a7431cac74aabb2a7d791eb,2026-08-06T07:13:49,50,5b544cdb2cf24da4076751bdec549e31,바이저,900,202604,승,0,0.0,3.0,1.0,0.0,0.0,75.0,0.0,45.0,1.0,4.25556,gamepad,4.0,4.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,116.0,103.0,77.0,74.0,3.0,0.0,2.0,2.0,1.0,0.0,29.0,26.0,1.0,1.0,0.0,0.0,27.0,10.0
6a7431f29b89a47745a9fc05,2026-08-06T07:11:29,50,9342a6652cc9258e4db4cba985ef3e23,닥터페퍼,1300,202607,패,2,1.0,0.0,0.0,0.0,0.0,40.0,0.0,47.0,0.0,3.37222,gamepad,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,79.0,67.0,52.0,46.0,2.0,1.0,0.0,0.0,6.0,4.0,18.0,16.0,0.0,0.0,2.0,0.0,5.0,1.0
6a7431f29b89a47745a9fc05,2026-08-06T07:11:29,50,ff4e703d48084459904f58e4362b197a,T1Seon9min,1300,202607,승,1,0.0,2.0,0.0,0.0,0.0,51.0,2.0,53.0,1.0,4.78333,gamepad,9.0,9.0,0.0,6.0,3,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,0.0,0.0,59.0,52.0,29.0,27.0,2.0,2.0,2.0,2.0,13.0,12.0,13.0,9.0,0.0,0.0,0.0,0.0,15.0,9.0
6a74339af218c12525288a6a,2026-08-06T07:21:54,50,11534f114b090dfd2617582022fc86de,지헌,900,202604,승,0,0.0,5.0,0.0,0.0,0.0,53.0,3.0,48.0,1.0,4.04444,gamepad,7.0,6.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,73.0,62.0,52.0,48.0,8.0,4.0,1.0,0.0,2.0,2.0,7.0,5.0,3.0,3.0,5.0,1.0,21.0,11.0
6a74339af218c12525288a6a,2026-08-06T07:21:54,50,84c4ac49a55259d1a9d99042c6fbb990,Lucian,1300,202607,패,0,0.0,0.0,2.0,0.0,0.0,77.0,2.0,52.0,0.0,3.87222,gamepad,5.0,2.0,0.0,1.0,1,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,112.0,104.0,88.0,83.0,8.0,5.0,0.0,0.0,6.0,6.0,10.0,10.0,0.0,0.0,5.0,0.0,8.0,3.0
6a743519d58bba2365f833a2,2026-08-06T07:28:04,50,6ed4a7cf6827afb37dcfb2240c602688,ryuK,800,202604,승,0,0.0,1.0,0.0,0.0,0.0,69.0,0.0,48.0,0.0,4.32222,gamepad,7.0,3.0,0.0,3.0,3,0.0,3.0,1.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,109.0,102.0,80.0,75.0,4.0,3.0,0.0,0.0,8.0,8.0,16.0,15.0,1.0,1.0,7.0,0.0,19.0,12.0
6a743519d58bba2365f833a2,2026-08-06T07:28:04,50,5b544cdb2cf24da4076751bdec549e31,바이저,800,202604,패,0,0.0,2.0,0.0,0.0,0.0,87.0,1.0,52.0,1.0,3.94444,gamepad,5.0,3.0,0.0,2.0,2,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,127.0,115.0,91.0,89.0,1.0,1.0,0.0,0.0,2.0,1.0,30.0,24.0,0.0,0.0,1.0,0.0,15.0,9.0
6a7436307944890e01f31a4e,2026-08-06T07:31:00,50,11534f114b090dfd2617582022fc86de,지헌,900,202604,승,1,1.0,0.0,0.0,0.0,0.0,66.0,3.0,60.0,0.0,4.45,gamepad,9.0,6.0,0.0,3.0,3,0.0,0.0,0.0,1.0,0.0,4.0,3.0,5.0,0.0,0.0,0.0,80.0,71.0,57.0,54.0,3.0,2.0,0.0,0.0,6.0,6.0,11.0,9.0,2.0,0.0,4.0,0.0,11.0,7.0
6a7436307944890e01f31a4e,2026-08-06T07:31:00,50,7512fb70e86edf96a36868c608dc3e75,M흑인,900,202604,패,2,1.0,2.0,0.0,0.0,0.0,44.0,0.0,40.0,0.0,3.73889,gamepad,2.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,86.0,71.0,61.0,53.0,2.0,0.0,0.0,0.0,9.0,8.0,12.0,9.0,1.0,1.0,10.0,2.0,21.0,4.0
6a74383d0f12ef37ca29bfe3,2026-08-06T07:42:30,50,11534f114b090dfd2617582022fc86de,지헌,900,202604,승,0,0.0,1.0,0.0,0.0,0.0,67.0,2.0,55.0,0.0,4.50556,gamepad,10.0,5.0,0.0,3.0,3,0.0,1.0,0.0,1.0,0.0,6.0,2.0,4.0,1.0,0.0,0.0,118.0,105.0,87.0,83.0,5.0,4.0,2.0,1.0,7.0,5.0,14.0,11.0,1.0,1.0,7.0,0.0,36.0,15.0
6a74383d0f12ef37ca29bfe3,2026-08-06T07:42:30,50,12074d8d0613f80dbb1720cd1872afbb,대구이민기,1300,202607,패,0,0.0,2.0,0.0,0.0,0.0,68.0,0.0,45.0,3.0,3.65556,keyboard,3.0,3.0,0.0,1.0,1,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,95.0,80.0,60.0,50.0,2.0,1.0,0.0,0.0,17.0,16.0,14.0,12.0,1.0,1.0,6.0,0.0,16.0,8.0
6a7438928c0ad01a77084225,2026-08-06T07:42:18,50,daa99f4160bb842dad27847959803941,Prime정호,800,202604,승,0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,47.0,0.0,4.22778,gamepad,5.0,4.0,0.0,2.0,2,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,81.0,72.0,57.0,53.0,2.0,1.0,0.0,0.0,5.0,5.0,17.0,13.0,0.0,0.0,6.0,0.0,18.0,10.0
6a7438928c0ad01a77084225,2026-08-06T07:42:18,50,5b544cdb2cf24da4076751bdec549e31,바이저,900,202604,패,0,0.0,2.0,0.0,0.0,0.0,96.0,1.0,53.0,0.0,3.93333,gamepad,2.0,2.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,146.0,131.0,108.0,101.0,2.0,0.0,1.0,0.0,1.0,1.0,32.0,29.0,0.0,0.0,6.0,1.0,15.0,7.0
6a743b48d4aaa63ecc0a997b,2026-08-06T07:55:15,50,648a399154e5bd7384918e2b8d2e56bf,나도전소희2,1300,202607,패,0,0.0,2.0,0.0,0.0,0.0,75.0,1.0,48.0,1.0,4.23333,gamepad,5.0,4.0,0.0,3.0,3,1.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,119.0,108.0,93.0,87.0,5.0,4.0,0.0,0.0,2.0,2.0,18.0,14.0,1.0,1.0,13.0,1.0,16.0,9.0
6a743b48d4aaa63ecc0a997b,2026-08-06T07:55:15,50,5b544cdb2cf24da4076751bdec549e31,바이저,900,202604,승,0,0.0,0.0,0.0,0.0,0.0,88.0,3.0,52.0,2.0,4.03333,gamepad,10.0,10.0,0.0,3.0,4,0.0,0.0,0.0,2.0,1.0,8.0,2.0,2.0,1.0,0.0,0.0,135.0,122.0,99.0,94.0,4.0,1.0,0.0,0.0,3.0,2.0,29.0,25.0,0.0,0.0,2.0,0.0,14.0,6.0
6a743e4df92883a3d0572c9c,2026-08-06T08:07:58,50,8979f68fc7ec9230c47d90f0100badcd,OFel,800,202604,승,0,0.0,2.0,1.0,0.0,0.0,85.0,2.0,54.0,0.0,4.22222,gamepad,7.0,5.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,1.0,1.0,129.0,114.0,100.0,92.0,4.0,3.0,2.0,1.0,5.0,5.0,17.0,13.0,0.0,0.0,6.0,1.0,22.0,11.0
6a743e4df92883a3d0572c9c,2026-08-06T08:07:58,50,5b544cdb2cf24da4076751bdec549e31,바이저,900,202604,패,0,0.0,2.0,0.0,0.0,0.0,73.0,1.0,46.0,0.0,4.09444,gamepad,3.0,3.0,0.0,2.0,2,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,124.0,114.0,96.0,93.0,1.0,1.0,0.0,0.0,1.0,1.0,23.0,18.0,1.0,1.0,2.0,0.0,24.0,13.0
6a7440f38d7f88340c73980b,2026-08-06T08:15:52,50,9f7e9bc37b5be36bdb306a9a7ff106d5,위웅위웅,1300,202607,패,2,1.0,0.0,0.0,0.0,0.0,52.0,1.0,45.0,0.0,3.37778,keyboard,3.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,70.0,59.0,48.0,43.0,7.0,6.0,0.0,0.0,4.0,3.0,11.0,7.0,0.0,0.0,5.0,0.0,8.0,3.0
6a7440f38d7f88340c73980b,2026-08-06T08:15:52,50,5b544cdb2cf24da4076751bdec549e31,바이저,900,202604,승,1,0.0,1.0,0.0,0.0,0.0,62.0,1.0,55.0,1.0,4.82222,gamepad,6.0,5.0,0.0,5.0,3,0.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,99.0,94.0,68.0,67.0,4.0,3.0,2.0,1.0,3.0,2.0,22.0,21.0,0.0,0.0,4.0,1.0,12.0,9.0
6a74430216093db8a3968317,2026-08-06T08:27:12,50,0bc5e148561ba7d386df9f4bbac57862,이병리바이,900,202604,패,0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,51.0,0.0,3.57778,keyboard,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,113.0,97.0,85.0,82.0,3.0,1.0,0.0,0.0,10.0,7.0,10.0,7.0,0.0,0.0,2.0,0.0,14.0,8.0
6a74430216093db8a3968317,2026-08-06T08:27:12,50,5b544cdb2cf24da4076751bdec549e31,바이저,900,202604,승,0,0.0,0.0,0.0,0.0,0.0,76.0,1.0,49.0,1.0,4.93333,gamepad,8.0,7.0,0.0,5.0,5,0.0,3.0,2.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,125.0,109.0,88.0,84.0,3.0,3.0,1.0,1.0,2.0,1.0,29.0,20.0,0.0,0.0,6.0,0.0,25.0,13.0
6a7445bc01e20c6e2082099d,2026-08-06T08:39:32,50,f810c5cf53bd399d0e385ebc36d67f44,오빵이들무서워요,1300,202607,무,0,0.0,1.0,1.0,0.0,0.0,70.0,0.0,49.0,1.0,4.22778,gamepad,7.0,5.0,0.0,4.0,4,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,93.0,81.0,58.0,52.0,1.0,1.0,1.0,1.0,12.0,10.0,15.0,14.0,3.0,3.0,7.0,0.0,23.0,11.0
6a7445bc01e20c6e2082099d,2026-08-06T08:39:32,50,5b544cdb2cf24da4076751bdec549e31,바이저,1300,202607,무,0,0.0,0.0,1.0,0.0,0.0,82.0,3.0,51.0,1.0,4.12222,gamepad,7.0,7.0,0.0,4.0,4,0.0,1.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,121.0,104.0,86.0,80.0,4.0,1.0,0.0,0.0,0.0,0.0,28.0,23.0,0.0,0.0,2.0,0.0,11.0,7.0
6a744850590b7e34a3582a96,2026-08-06T08:49:53,50,833161ba2f1acab531f7d129da4b856b,RAGE,900,202604,패,0,0.0,0.0,0.0,0.0,0.0,82.0,1.0,53.0,0.0,4.03333,gamepad,3.0,3.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,110.0,101.0,72.0,70.0,7.0,5.0,0.0,0.0,12.0,9.0,19.0,17.0,0.0,0.0,3.0,1.0,16.0,8.0
6a744850590b7e34a3582a96,2026-08-06T08:49:53,50,5b544cdb2cf24da4076751bdec549e31,바이저,1300,202607,승,0,0.0,0.0,0.0,0.0,0.0,86.0,3.0,47.0,0.0,4.28333,gamepad,6.0,6.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,131.0,116.0,92.0,87.0,5.0,1.0,1.0,1.0,1.0,1.0,30.0,26.0,0.0,0.0,4.0,0.0,16.0,8.0
